CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NO2(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),RH,AH,NOx(GT)
2.5,1285.0,14.2,1123.0,121.0,755.0,1741.0,1293.0,28.2,1.0098,136.0
2.4,1311.0,15.7,1170.0,108.0,748.0,1787.0,1219.0,26.9,1.0094,119.0
3.2,1416.0,21.9,1348.0,126.0,684.0,1969.0,1330.0,26.5,0.9693,169.0
3.5,1387.0,20.8,1318.0,145.0,701.0,1890.0,1299.0,23.4,0.8935,197.0
2.9,1329.0,16.2,1185.0,121.0,768.0,1750.0,1111.0,26.0,0.9922,140.0
3.6,1496.0,19.8,1292.0,145.0,680.0,1878.0,1300.0,30.0,1.0752,178.0
4.8,1676.0,28.9,1525.0,160.0,567.0,2226.0,1653.0,37.3,1.1199,223.0
5.4,1724.0,28.3,1510.0,155.0,562.0,2252.0,1716.0,42.2,1.1746,222.0
5.3,1642.0,24.9,1426.0,162.0,597.0,2117.0,1720.0,43.6,1.1226,265.0
2.7,1267.0,13.1,1088.0,129.0,764.0,1740.0,1339.0,46.8,1.0702,151.0
1.4,1146.0,8.6,923.0,96.0,845.0,1575.0,1166.0,49.8,1.1221,79.0
1.6,1216.0,9.5,960.0,92.0,788.0,1662.0,1256.0,56.2,1.1420000000000001,87.0
1.5,1128.0,7.8,891.0,89.0,838.0,1574.0,1125.0,55.6,1.0963,88.0
1.0,1042.0,5.2,772.0,61.0,923.0,1495.0,968.0,59.5,1.1269,51.0
0.6,926.0,2.8,639.0,54.0,1115.0,1409.0,814.0,60.1,1.0806,34.0
0.4,898.0,2.3,608.0,109.0,1154.0,1386.0,743.0,61.2,1.0784,180.0
1.8,889.0,2.5,617.0,44.0,1168.0,1382.0,758.0,63.4,1.0446,31.0
0.8,959.0,4.4,734.0,57.0,1038.0,1470.0,861.0,67.0,1.0203,76.0
1.5,1097.0,9.4,956.0,68.0,827.0,1620.0,1047.0,66.5,0.9846,139.0
4.9,1674.0,29.8,1547.0,95.0,539.0,2405.0,1665.0,61.3,1.0237,293.0
7.2,1771.0,36.2,1690.0,125.0,461.0,2572.0,1982.0,56.5,1.0274,368.0
3.5,1408.0,18.0,1241.0,135.0,648.0,1886.0,1711.0,47.8,1.0143,250.0
2.1,1156.0,10.9,1009.0,118.0,875.0,1583.0,1204.0,30.2,0.8771,145.0
1.5,1042.0,9.0,941.0,91.0,971.0,1491.0,871.0,25.0,0.7966,110.0
2.0,1167.0,14.4,1128.0,89.0,829.0,1716.0,1040.0,25.5,0.8234,104.0
3.8,1398.0,22.3,1360.0,129.0,656.0,2037.0,1439.0,29.9,0.9325,205.0
3.4,1458.0,20.9,1321.0,122.0,654.0,2023.0,1516.0,37.9,1.016,201.0
4.4,1554.0,23.1,1379.0,138.0,614.0,2151.0,1693.0,44.0,1.1242,266.0
3.9,1495.0,21.2,1331.0,136.0,615.0,2069.0,1635.0,44.4,1.1176,246.0
4.9,1560.0,24.8,1424.0,143.0,579.0,2176.0,1688.0,45.3,1.1016,247.0
5.4,1664.0,28.6,1519.0,145.0,553.0,2312.0,1820.0,48.6,1.1354,271.0
6.5,1761.0,32.6,1610.0,146.0,502.0,2488.0,2006.0,50.8,1.1924,332.0
4.3,1524.0,19.2,1275.0,122.0,608.0,2046.0,1740.0,57.6,1.2233,245.0
2.9,1398.0,16.3,1189.0,112.0,646.0,1931.0,1577.0,58.8,1.2173,180.0
2.7,1342.0,13.7,1106.0,102.0,694.0,1856.0,1443.0,61.0,1.2352,156.0
2.8,1433.0,13.6,1104.0,97.0,681.0,1876.0,1411.0,70.7,1.3554,172.0
2.3,1297.0,11.1,1019.0,85.0,733.0,1823.0,1217.0,76.9,1.4051,137.0
1.7,1179.0,7.6,884.0,76.0,830.0,1696.0,1086.0,78.6,1.3943,91.0
1.2,1097.0,5.9,809.0,74.0,897.0,1628.0,1050.0,78.4,1.3917,80.0
1.0,1054.0,5.0,761.0,109.0,963.0,1598.0,965.0,77.4,1.3683,180.0
1.8,1017.0,4.0,711.0,56.0,1009.0,1554.0,906.0,78.5,1.3635,46.0
0.8,1005.0,4.5,738.0,66.0,1005.0,1563.0,917.0,74.7,1.3194,68.0
1.7,1206.0,9.3,949.0,90.0,818.0,1771.0,1116.0,73.1,1.3136,162.0
3.0,1458.0,18.3,1249.0,111.0,662.0,2033.0,1380.0,68.2,1.2737,213.0
3.4,1405.0,19.9,1295.0,103.0,638.0,2065.0,1378.0,57.6,1.2323,161.0
3.3,1381.0,16.6,1199.0,117.0,685.0,1970.0,1365.0,65.0,1.2945,209.0
2.7,1315.0,12.6,1072.0,116.0,736.0,1833.0,1273.0,73.2,1.3458,191.0
2.6,1332.0,12.9,1082.0,109.0,707.0,1889.0,1242.0,78.5,1.4209,215.0
3.2,1362.0,14.9,1145.0,116.0,673.0,1973.0,1294.0,72.4,1.4125,212.0
3.4,1399.0,17.4,1222.0,115.0,643.0,2061.0,1413.0,60.9,1.3545,202.0
2.6,1310.0,15.4,1160.0,94.0,695.0,1939.0,1224.0,50.9,1.2823,153.0
3.4,1399.0,16.7,1201.0,121.0,699.0,1971.0,1318.0,45.8,1.2465,185.0
4.0,1524.0,18.0,1239.0,114.0,644.0,2139.0,1404.0,60.8,1.4852,210.0
4.5,1487.0,19.2,1274.0,110.0,641.0,2133.0,1471.0,54.3,1.3353,215.0
4.2,1480.0,21.0,1324.0,122.0,622.0,2162.0,1623.0,54.4,1.3194,215.0
5.7,1626.0,26.9,1476.0,135.0,555.0,2356.0,1786.0,58.6,1.3392,281.0
4.4,1449.0,19.5,1282.0,133.0,625.0,2100.0,1569.0,61.1,1.3345,254.0
3.1,1363.0,15.1,1152.0,110.0,684.0,1951.0,1495.0,65.4,1.3529,189.0
3.0,1371.0,14.6,1136.0,102.0,689.0,1927.0,1471.0,66.1,1.3579,174.0
3.1,1406.0,13.7,1107.0,108.0,718.0,1872.0,1384.0,66.9,1.3422,167.0
3.5,1425.0,15.2,1155.0,110.0,709.0,1936.0,1789.0,66.8,1.3459999999999999,185.0
2.4,1179.0,9.3,951.0,84.0,826.0,1724.0,1323.0,68.3,1.3346,129.0
1.6,1047.0,6.5,833.0,71.0,939.0,1647.0,1081.0,70.2,1.3099,85.0
1.3,1009.0,6.3,825.0,109.0,950.0,1629.0,938.0,73.1,1.2902,180.0
1.8,882.0,3.5,685.0,42.0,1134.0,1492.0,673.0,69.9,1.2756,35.0
0.6,858.0,2.6,624.0,32.0,1205.0,1434.0,543.0,67.1,1.2619,24.0
0.7,875.0,3.1,659.0,35.0,1180.0,1452.0,561.0,66.9,1.2631,30.0
1.2,1012.0,6.5,833.0,67.0,916.0,1632.0,862.0,66.5,1.2688,75.0
1.5,1049.0,6.5,836.0,73.0,926.0,1615.0,901.0,62.0,1.2458,79.0
1.8,1131.0,8.8,932.0,86.0,854.0,1693.0,1048.0,54.6,1.2184,104.0
2.1,1120.0,8.8,931.0,89.0,886.0,1652.0,971.0,46.1,1.1725,118.0
1.9,1117.0,9.2,946.0,86.0,909.0,1657.0,915.0,36.7,1.1202,105.0
2.0,1110.0,9.2,948.0,86.0,901.0,1632.0,891.0,31.9,1.0566,101.0
1.3,962.0,6.1,816.0,66.0,1044.0,1489.0,628.0,31.5,1.0184,65.0
1.3,963.0,6.5,835.0,68.0,1029.0,1495.0,556.0,34.8,1.0716,59.0
1.8,1050.0,9.2,948.0,82.0,928.0,1584.0,652.0,30.3,1.0101,80.0
2.0,1053.0,8.3,911.0,91.0,949.0,1603.0,683.0,33.5,1.0767,98.0
1.8,1045.0,8.3,910.0,95.0,948.0,1598.0,624.0,37.2,1.0746,89.0
2.4,1124.0,11.0,1013.0,104.0,849.0,1676.0,733.0,38.9,1.0324,114.0
4.0,1330.0,14.7,1140.0,131.0,759.0,1780.0,1062.0,42.8,1.0298,195.0
2.8,1171.0,10.8,1006.0,112.0,835.0,1674.0,988.0,51.7,1.1222,156.0
2.0,1085.0,9.4,954.0,100.0,866.0,1656.0,871.0,55.5,1.1174,109.0
3.6,1358.0,14.8,1144.0,115.0,727.0,1851.0,1243.0,57.6,1.1342,184.0
3.7,1385.0,13.3,1094.0,129.0,765.0,1769.0,1175.0,58.5,1.1645,190.0
2.3,1167.0,8.4,914.0,99.0,876.0,1599.0,1126.0,59.3,1.1551,105.0
1.8,1072.0,7.9,894.0,74.0,893.0,1646.0,1118.0,60.4,1.1633,76.0
0.9,938.0,5.5,789.0,55.0,989.0,1536.0,864.0,62.2,1.1507,38.0
1.6,1000.0,6.6,838.0,109.0,910.0,1580.0,942.0,67.6,1.1352,180.0
1.8,854.0,3.3,670.0,35.0,1141.0,1460.0,684.0,65.8,1.1028,26.0
0.6,815.0,2.6,628.0,37.0,1212.0,1426.0,689.0,65.2,1.0811,33.0
0.7,866.0,3.6,689.0,45.0,1138.0,1456.0,767.0,70.2,1.0554,57.0
0.8,911.0,4.8,751.0,46.0,1036.0,1518.0,817.0,66.2,1.0728,48.0
1.2,988.0,5.9,806.0,68.0,951.0,1568.0,940.0,61.6,1.1083,87.0
1.4,1046.0,6.9,851.0,77.0,920.0,1595.0,908.0,56.4,1.1342,94.0
1.6,1085.0,8.5,918.0,79.0,890.0,1639.0,871.0,44.7,1.1157,89.0
1.3,1008.0,6.1,816.0,72.0,1015.0,1531.0,689.0,36.4,1.0431,78.0
1.3,1004.0,6.2,821.0,68.0,1031.0,1510.0,629.0,34.0,1.0149,72.0
1.1,948.0,4.8,754.0,64.0,1086.0,1436.0,602.0,32.7,0.9863,64.0
1.2,1026.0,6.8,847.0,73.0,1010.0,1519.0,617.0,31.7,0.9647,70.0
1.5,1047.0,7.0,859.0,84.0,948.0,1538.0,677.0,34.3,1.002,92.0
1.1,1018.0,5.5,790.0,67.0,1047.0,1443.0,580.0,28.1,0.9258,69.0
1.9,1160.0,9.5,957.0,106.0,884.0,1637.0,861.0,32.3,0.9815,131.0
2.3,1269.0,11.9,1047.0,114.0,809.0,1721.0,1080.0,39.3,1.06,144.0
3.3,1394.0,13.8,1111.0,123.0,736.0,1853.0,1288.0,47.5,1.1828,209.0
2.6,1292.0,10.7,1003.0,108.0,789.0,1753.0,1163.0,54.9,1.2632,170.0
2.2,1212.0,9.7,966.0,100.0,840.0,1691.0,1043.0,52.1,1.1642,152.0
2.3,1137.0,10.2,985.0,118.0,858.0,1607.0,1045.0,42.6,0.9485,171.0
2.0,1080.0,8.3,910.0,121.0,923.0,1548.0,929.0,44.1,0.966,153.0
1.6,1031.0,7.1,861.0,94.0,903.0,1534.0,825.0,49.3,1.0086,97.0
0.8,917.0,3.0,654.0,52.0,1169.0,1414.0,545.0,54.6,1.0918,37.0
0.6,888.0,2.2,598.0,39.0,1228.0,1397.0,500.0,62.1,1.1493,26.0
0.4,872.0,1.7,564.0,109.0,1284.0,1385.0,494.0,65.3,1.1484,180.0
1.8,876.0,1.5,547.0,33.0,1256.0,1351.0,505.0,61.4,1.1043,25.0
0.7,964.0,3.7,697.0,57.0,1067.0,1516.0,717.0,64.3,1.1416,61.0
1.3,1147.0,8.2,906.0,80.0,815.0,1687.0,1126.0,65.8,1.1844,152.0
3.4,1493.0,21.1,1328.0,101.0,577.0,2193.0,1597.0,62.5,1.1869,283.0
4.7,1597.0,26.5,1466.0,109.0,518.0,2400.0,1687.0,66.1,1.2613,320.0
3.4,1483.0,17.4,1222.0,109.0,597.0,2054.0,1529.0,68.9,1.3557,318.0
2.5,1222.0,12.9,1080.0,111.0,742.0,1755.0,1366.0,45.0,1.1291,201.0
2.0,1060.0,10.9,1010.0,102.0,858.0,1623.0,1074.0,30.7,0.9002,135.0
1.9,1048.0,11.0,1013.0,96.0,886.0,1584.0,940.0,25.2,0.8721,127.0
1.7,1051.0,10.8,1008.0,90.0,911.0,1561.0,921.0,23.6,0.8983,102.0
1.4,998.0,10.0,977.0,69.0,947.0,1496.0,695.0,20.1,0.8539,74.0
1.5,1058.0,11.2,1023.0,74.0,896.0,1580.0,795.0,19.7,0.8649,81.0
2.4,1203.0,16.8,1204.0,102.0,790.0,1744.0,1079.0,20.5,0.8672,129.0
3.9,1491.0,23.6,1392.0,128.0,630.0,2149.0,1473.0,34.6,1.1724,190.0
4.2,1467.0,23.3,1385.0,130.0,623.0,2084.0,1493.0,39.4,1.2268,192.0
3.7,1407.0,19.4,1279.0,120.0,660.0,2009.0,1308.0,43.7,1.2484,163.0
3.2,1324.0,13.1,1086.0,113.0,692.0,1903.0,1189.0,63.1,1.4028,149.0
2.0,1214.0,9.8,970.0,100.0,777.0,1771.0,1076.0,64.6,1.3836,119.0
1.1,1016.0,5.3,780.0,70.0,967.0,1566.0,806.0,57.1,1.2806,61.0
1.5,1135.0,6.7,842.0,83.0,872.0,1653.0,973.0,62.5,1.3521,84.0
1.3,1065.0,5.5,789.0,81.0,936.0,1620.0,929.0,65.8,1.3802,79.0
1.0,999.0,3.7,692.0,69.0,1038.0,1588.0,778.0,79.2,1.4681,58.0
0.6,911.0,2.2,599.0,48.0,1189.0,1517.0,633.0,80.0,1.4562,32.0
0.4,873.0,1.5,545.0,109.0,1308.0,1471.0,497.0,81.0,1.4302,180.0
1.8,881.0,1.5,546.0,28.0,1335.0,1465.0,458.0,81.0,1.4216,21.0
0.6,967.0,2.9,646.0,47.0,1117.0,1552.0,579.0,80.5,1.4236,49.0
1.9,1280.0,9.9,976.0,88.0,780.0,1912.0,1003.0,80.8,1.4602,180.0
4.5,1564.0,23.0,1379.0,109.0,552.0,2306.0,1393.0,78.0,1.4572,302.0
4.3,1505.0,22.3,1358.0,113.0,556.0,2248.0,1406.0,79.2,1.4398,258.0
3.2,1309.0,16.2,1186.0,104.0,649.0,1973.0,1308.0,70.8,1.4171,192.0
1.3,1035.0,7.9,895.0,65.0,898.0,1657.0,863.0,54.8,1.2867,84.0
2.2,1148.0,12.4,1062.0,87.0,753.0,1825.0,1004.0,49.3,1.2271,128.0
2.6,1152.0,13.6,1104.0,99.0,725.0,1860.0,1023.0,47.9,1.2178,145.0
2.3,1131.0,12.3,1059.0,100.0,772.0,1784.0,978.0,47.7,1.2047,132.0
2.4,1142.0,12.1,1053.0,105.0,753.0,1814.0,979.0,54.0,1.2757,136.0
2.6,1197.0,12.9,1082.0,97.0,753.0,1851.0,971.0,57.1,1.3158,140.0
1.2,960.0,6.3,828.0,54.0,971.0,1565.0,617.0,55.2,1.2701,55.0
1.6,1077.0,10.6,1001.0,59.0,836.0,1764.0,717.0,55.7,1.2512,67.0
3.9,1377.0,20.6,1313.0,109.0,612.0,2120.0,1220.0,62.8,1.3127,191.0
4.7,1405.0,22.1,1353.0,125.0,602.0,2185.0,1296.0,68.3,1.3289,227.0
5.4,1484.0,20.8,1319.0,132.0,591.0,2166.0,1413.0,75.2,1.3654,264.0
3.0,1187.0,11.8,1042.0,110.0,766.0,1840.0,1093.0,70.8,1.3253,196.0
0.9,870.0,4.3,729.0,53.0,1096.0,1475.0,586.0,56.0,1.181,43.0
1.1,932.0,5.0,765.0,61.0,1054.0,1543.0,575.0,59.5,1.1667,58.0
0.7,830.0,2.3,608.0,41.0,1282.0,1370.0,441.0,52.3,1.1121,33.0
0.5,778.0,1.4,534.0,22.0,1480.0,1294.0,358.0,49.8,1.0831,14.0
0.5,820.0,1.5,541.0,28.0,1450.0,1360.0,377.0,64.5,1.14,18.0
0.5,842.0,1.8,565.0,109.0,1327.0,1399.0,437.0,66.9,1.1691,180.0
1.8,867.0,2.1,589.0,41.0,1267.0,1439.0,468.0,74.1,1.2302,28.0
0.8,927.0,3.5,682.0,54.0,1109.0,1526.0,580.0,77.1,1.2727,56.0
1.3,1060.0,6.9,851.0,81.0,912.0,1673.0,805.0,78.3,1.2851,108.0
3.5,1440.0,19.1,1271.0,107.0,630.0,2163.0,1273.0,76.8,1.3061,251.0
1.8,1449.0,22.0,1350.0,109.0,571.0,2264.0,1452.0,70.8,1.3088,180.0
3.9,1384.0,18.9,1265.0,124.0,620.0,2143.0,1307.0,72.4,1.3379,255.0
2.9,1172.0,13.0,1085.0,123.0,737.0,1876.0,1102.0,68.6,1.2657,214.0
2.6,1143.0,13.0,1083.0,120.0,735.0,1887.0,1083.0,62.9,1.2228,190.0
3.0,1167.0,14.5,1134.0,113.0,709.0,1920.0,1083.0,61.1,1.206,182.0
3.7,1303.0,19.7,1288.0,114.0,618.0,2116.0,1236.0,66.8,1.2691,202.0
3.9,1264.0,19.4,1279.0,120.0,631.0,2049.0,1223.0,62.6,1.226,224.0
3.5,1242.0,16.4,1193.0,125.0,684.0,1945.0,1175.0,60.8,1.2029,221.0
2.4,1070.0,11.2,1022.0,88.0,824.0,1740.0,933.0,59.2,1.1725,126.0
1.6,981.0,10.0,978.0,72.0,857.0,1682.0,835.0,56.9,1.1392,79.0
3.0,1198.0,14.6,1136.0,103.0,717.0,1870.0,1291.0,61.5,1.1873,137.0
1.6,1000.0,8.5,918.0,67.0,881.0,1661.0,802.0,63.9,1.2667,68.0
2.1,1110.0,9.2,949.0,79.0,850.0,1733.0,842.0,70.7,1.2672,96.0
1.8,1023.0,6.9,854.0,89.0,918.0,1637.0,744.0,75.1,1.2799,111.0
1.1,861.0,3.7,695.0,67.0,1130.0,1438.0,500.0,72.5,1.1502,56.0
1.5,969.0,4.9,760.0,83.0,1059.0,1518.0,560.0,79.8,1.1175,81.0
1.4,898.0,4.6,741.0,76.0,1085.0,1468.0,589.0,75.8,1.0938,79.0
0.9,835.0,3.4,674.0,58.0,1201.0,1416.0,488.0,75.0,1.0499,46.0
0.5,766.0,1.2,523.0,30.0,1534.0,1310.0,387.0,72.2,1.0503,19.0
0.4,743.0,1.0,502.0,109.0,1635.0,1292.0,355.0,71.6,1.0486,180.0
1.8,758.0,1.2,517.0,22.0,1625.0,1294.0,351.0,67.1,1.0079,15.0
0.6,804.0,2.3,604.0,50.0,1366.0,1357.0,420.0,64.6,0.9774,48.0
1.3,948.0,6.1,817.0,92.0,1048.0,1546.0,695.0,65.6,0.9815,128.0
2.9,1204.0,16.8,1205.0,101.0,729.0,1984.0,1139.0,58.5,0.9688,193.0
3.6,1231.0,20.3,1304.0,121.0,652.0,2029.0,1315.0,53.1,0.9529,203.0
3.4,1176.0,16.4,1191.0,130.0,705.0,1836.0,1217.0,46.1,0.9388,220.0
2.5,1043.0,12.5,1066.0,114.0,789.0,1692.0,1014.0,37.7,0.8833,161.0
2.1,992.0,9.8,970.0,100.0,869.0,1624.0,884.0,42.8,0.9026,135.0
1.1,885.0,5.2,772.0,56.0,1035.0,1450.0,524.0,64.3,0.9586,57.0
1.8,991.0,8.9,937.0,75.0,874.0,1581.0,644.0,54.5,0.9309,91.0
3.0,1182.0,14.1,1119.0,121.0,733.0,1831.0,1032.0,65.5,1.0184,219.0
3.1,1191.0,12.7,1074.0,128.0,741.0,1816.0,1038.0,78.3,1.1154,239.0
3.6,1272.0,14.6,1136.0,139.0,730.0,1869.0,1077.0,74.2,1.0863,209.0
3.3,1138.0,12.4,1063.0,122.0,804.0,1728.0,983.0,64.2,1.0490000000000002,169.0
1.8,1008.0,9.4,954.0,92.0,892.0,1626.0,834.0,58.3,1.0266,92.0
2.1,1075.0,11.0,1015.0,97.0,824.0,1722.0,949.0,61.4,1.0385,107.0
2.2,1034.0,8.9,935.0,98.0,870.0,1605.0,941.0,65.8,1.0254,122.0
1.6,934.0,6.6,841.0,93.0,973.0,1497.0,756.0,66.4,0.9440000000000001,100.0
0.9,883.0,3.9,705.0,65.0,1133.0,1422.0,655.0,58.8,1.0215,51.0
1.8,1021.0,7.3,871.0,81.0,938.0,1586.0,805.0,64.9,1.0405,93.0
2.3,1059.0,8.2,907.0,102.0,879.0,1579.0,970.0,64.7,1.0168,145.0
2.0,1023.0,7.5,878.0,91.0,896.0,1568.0,969.0,67.8,1.042,106.0
0.9,855.0,3.3,669.0,56.0,1160.0,1427.0,671.0,69.4,1.0794,46.0
0.6,826.0,2.4,616.0,109.0,1227.0,1384.0,575.0,67.7,1.0712,180.0
1.8,831.0,2.2,602.0,41.0,1269.0,1386.0,535.0,67.8,1.0787,32.0
0.7,817.0,2.8,639.0,48.0,1260.0,1364.0,489.0,61.1,1.0075,51.0
1.5,972.0,7.5,880.0,72.0,964.0,1590.0,689.0,60.5,0.9847,89.0
3.7,1200.0,19.8,1290.0,106.0,657.0,2014.0,1196.0,56.9,0.9582,214.0
4.2,1234.0,22.1,1355.0,107.0,621.0,2095.0,1266.0,50.2,0.9286,196.0
3.4,1164.0,15.0,1148.0,127.0,741.0,1824.0,1130.0,50.9,0.9211,224.0
2.4,976.0,9.3,952.0,114.0,878.0,1582.0,834.0,42.8,0.9091,174.0
1.3,844.0,6.3,825.0,101.0,1027.0,1405.0,536.0,33.7,0.7646,90.0
1.5,851.0,8.2,906.0,95.0,989.0,1418.0,545.0,27.7,0.6864,89.0
2.2,926.0,10.9,1010.0,110.0,904.0,1526.0,720.0,28.5,0.6445,132.0
1.8,890.0,9.3,950.0,101.0,940.0,1460.0,655.0,29.7,0.6779999999999999,114.0
1.9,921.0,8.4,914.0,106.0,937.0,1481.0,614.0,35.6,0.7856,107.0
2.3,1052.0,9.4,956.0,116.0,869.0,1600.0,725.0,60.5,0.9765,140.0
3.6,1247.0,17.9,1238.0,124.0,691.0,1948.0,1036.0,69.1,1.0249,187.0
4.3,1205.0,17.4,1222.0,133.0,684.0,1911.0,1127.0,70.4,1.0294,222.0
2.2,1016.0,10.5,995.0,96.0,857.0,1642.0,854.0,62.7,0.9905,117.0
1.5,984.0,7.5,879.0,85.0,940.0,1527.0,792.0,62.9,0.9948,89.0
2.0,1041.0,8.0,898.0,97.0,922.0,1595.0,891.0,65.2,0.9996,130.0
2.0,1027.0,7.7,887.0,97.0,927.0,1568.0,876.0,64.6,0.9864,133.0
2.1,1025.0,7.3,869.0,101.0,954.0,1531.0,851.0,63.6,0.9677,144.0
1.5,984.0,6.4,829.0,85.0,1003.0,1516.0,787.0,61.8,0.9433,99.0
2.2,969.0,5.6,791.0,80.0,1084.0,1446.0,711.0,59.7,0.9271,102.0
0.5,758.0,1.5,546.0,33.0,1483.0,1252.0,396.0,53.3,0.8807,27.0
1.8,767.0,1.5,547.0,109.0,1482.0,1239.0,375.0,51.7,0.8412,180.0
1.8,772.0,1.2,518.0,109.0,1544.0,1202.0,343.0,67.5,0.8785,180.0
1.8,831.0,1.6,557.0,109.0,1480.0,1257.0,401.0,85.2,0.8808,180.0
1.8,871.0,2.6,628.0,109.0,1243.0,1329.0,518.0,81.5,0.919,180.0
1.8,995.0,5.9,808.0,109.0,1028.0,1479.0,685.0,75.6,0.9458,180.0
1.8,1093.0,8.5,918.0,109.0,857.0,1589.0,939.0,75.0,0.9821,180.0
1.8,1079.0,7.7,885.0,109.0,884.0,1588.0,974.0,66.1,1.0236,180.0
1.8,1084.0,6.9,852.0,109.0,910.0,1575.0,959.0,63.1,1.0488,180.0
1.8,1204.0,10.1,982.0,109.0,791.0,1739.0,1067.0,72.3,1.1361,180.0
1.8,1213.0,11.1,1018.0,109.0,760.0,1778.0,1061.0,76.8,1.1703,180.0
1.8,1124.0,9.2,949.0,109.0,827.0,1671.0,1008.0,60.0,1.0937,180.0
1.8,945.0,4.3,726.0,109.0,1053.0,1432.0,637.0,55.3,1.0146,180.0
1.8,964.0,6.5,833.0,109.0,1003.0,1489.0,647.0,40.4,0.9354,180.0
1.8,903.0,5.4,786.0,109.0,1073.0,1375.0,523.0,35.4,0.8099,180.0
1.8,918.0,7.1,863.0,109.0,992.0,1408.0,539.0,33.6,0.767,180.0
1.8,1028.0,9.5,961.0,109.0,913.0,1502.0,649.0,38.5,0.7763,180.0
1.8,1175.0,17.0,1209.0,109.0,720.0,1829.0,1071.0,44.6,0.8393,180.0
1.8,1215.0,15.4,1161.0,109.0,714.0,1802.0,1237.0,51.8,0.8816,180.0
1.8,1072.0,9.9,976.0,109.0,835.0,1603.0,1018.0,56.2,0.9028,180.0
1.8,1070.0,9.3,952.0,109.0,858.0,1573.0,966.0,58.3,0.9147,180.0
1.8,1021.0,6.9,853.0,109.0,979.0,1457.0,901.0,59.7,0.9285,180.0
1.8,1063.0,7.1,859.0,109.0,952.0,1519.0,949.0,60.3,0.9405,180.0
1.8,1068.0,9.0,938.0,109.0,862.0,1575.0,1057.0,64.9,0.9506,180.0
1.8,993.0,8.3,913.0,109.0,879.0,1601.0,989.0,65.4,0.9529,180.0
1.8,1034.0,8.7,928.0,109.0,848.0,1619.0,1005.0,68.6,0.9640000000000001,180.0
1.8,1025.0,8.4,914.0,109.0,856.0,1605.0,1003.0,68.0,0.9722,180.0
1.8,1036.0,8.1,902.0,109.0,825.0,1558.0,1087.0,71.1,0.9899,180.0
1.8,924.0,5.2,774.0,109.0,987.0,1460.0,909.0,73.8,0.9848,180.0
1.8,922.0,4.5,737.0,109.0,1050.0,1414.0,882.0,62.6,0.9419,180.0
1.8,830.0,2.6,625.0,109.0,1266.0,1303.0,568.0,46.8,0.8881,180.0
1.8,947.0,4.8,752.0,109.0,1068.0,1434.0,620.0,44.8,0.9104,180.0
1.8,977.0,4.5,737.0,109.0,1025.0,1450.0,686.0,49.5,0.9986,180.0
1.8,1025.0,4.9,761.0,109.0,1008.0,1476.0,700.0,46.4,0.9968,180.0
1.8,1040.0,5.8,804.0,109.0,940.0,1502.0,780.0,44.0,0.9783,180.0
1.8,1013.0,4.1,718.0,109.0,1041.0,1492.0,558.0,68.4,1.1405,180.0
1.8,1035.0,4.8,755.0,109.0,997.0,1521.0,608.0,65.8,1.1577,180.0
1.8,1086.0,7.0,859.0,109.0,892.0,1595.0,754.0,54.0,1.0826,180.0
1.8,967.0,4.8,753.0,109.0,1048.0,1420.0,544.0,46.7,0.9466,180.0
1.8,968.0,5.4,785.0,109.0,1011.0,1446.0,550.0,44.4,0.8967,180.0
1.8,1004.0,6.3,827.0,109.0,972.0,1465.0,627.0,44.3,0.8929,180.0
1.8,1132.0,10.1,981.0,109.0,850.0,1614.0,877.0,47.8,0.8851,180.0
1.8,1121.0,10.2,985.0,109.0,833.0,1625.0,981.0,51.6,0.9063,180.0
1.8,1068.0,8.4,917.0,109.0,889.0,1570.0,832.0,55.0,0.9228,180.0
1.8,1123.0,8.9,937.0,109.0,866.0,1606.0,941.0,59.8,0.9398,180.0
1.8,1101.0,8.8,933.0,109.0,845.0,1600.0,1022.0,62.1,0.9721,180.0
1.8,997.0,6.5,835.0,109.0,951.0,1501.0,888.0,61.1,0.9656,180.0
1.8,875.0,3.0,654.0,109.0,1172.0,1375.0,683.0,57.6,0.9684,180.0
1.8,815.0,1.8,569.0,109.0,1361.0,1344.0,534.0,60.1,0.9797,180.0
1.8,803.0,1.3,531.0,109.0,1462.0,1318.0,489.0,63.2,0.9952,180.0
1.8,829.0,1.8,570.0,109.0,1304.0,1357.0,562.0,62.9,1.0136,180.0
1.8,867.0,2.6,625.0,109.0,1213.0,1385.0,652.0,63.8,1.0167,180.0
1.8,1118.0,9.8,970.0,109.0,837.0,1705.0,1019.0,67.4,1.0292,180.0
1.8,1632.0,31.5,1587.0,109.0,523.0,2459.0,1678.0,62.3,1.0351,180.0
1.8,1598.0,35.2,1668.0,109.0,490.0,2617.0,1749.0,57.3,1.0342,180.0
4.4,1378.0,20.2,1303.0,117.0,633.0,2051.0,1494.0,51.1,1.0362,257.0
2.5,1132.0,13.4,1096.0,107.0,731.0,1808.0,1186.0,45.0,1.0379,178.0
2.1,1108.0,11.7,1040.0,95.0,767.0,1748.0,1051.0,44.1,1.0392,145.0
2.4,1131.0,13.4,1097.0,93.0,735.0,1797.0,1027.0,42.4,1.0248,137.0
2.2,1105.0,12.9,1080.0,104.0,751.0,1758.0,981.0,40.6,0.9888,139.0
